Instance cominisatPS-DL cominisatPS
g2-slp-synthesis-aes-top30.cnf 191.249 1861.77
mp1-Nb6T28.cnf 5000.01 5000.01
g2-T109.2.0.cnf 5000.05 3832.99
g2-hwmcc15deep-beemloyd3b1-k31.cnf 5000.02 2908.41
mp1-klieber2017s-0500-023-t12.cnf 217.659 213.524
g2-slp-synthesis-aes-top28.cnf 3310.57 1564.05
g2-T97.2.1.cnf 5000.06 5000.13
g2-T169.2.0.cnf 5000.04 5000.01
g2-T93.2.1.cnf 1270.5 1286.96
g2-hwmcc15deep-6s33-k33.cnf 1201.93 1194.24
mp1-klieber2017s-1600-022-eq.cnf 1483.64 1243.3
mp1-ps_5000_21250_3_0_0.8_0_1.55_4.cnf 5000.02 5000.09
mp1-blockpuzzle_7x10_s10_free4.cnf 296.381 267.929
mp1-rubikcube031.cnf 5000.01 5000.01
g2-T124.2.0.cnf 928.261 1376.56
mp1-bsat180-648.cnf 60.0188 55.0244
g2-UR-20-10p1.cnf 5000.01 5000.01
mp1-9_31.cnf 500.419 1666.41
mp1-ps_5000_21250_3_0_0.7_0_1.45_2.cnf 5000.01 5000.01
g2-hwmcc15deep-bobpcihm-k31.cnf 5000.01 5000.02
g2-ak128simpbbg1sbisc.cnf 4.45964 6.12046
mp1-22.2.cnf 5000.02 662.97
mp1-ps_5000_21250_3_0_0.6_0_1.45_0.cnf 5000.01 5000.01
g2-T124.2.1.cnf 4173.06 4246.97
g2-ak128modbtbg2msisc.cnf 5000.01 5000.03
g2-modgen-n200-m90860q08c40-3230.cnf 5000.01 5000.01
g2-mizh-md5-48-5.cnf 1599.86 1267.61
mp1-24.2.cnf 5000.01 5000.01
g2-UCG-20-5p1.cnf 421.397 900.98
mp1-ps_5000_21250_3_0_0.8_0_1.70_8.cnf 5000 5000.01
g2-hwmcc15deep-bob12s02-k17.cnf 5000.01 5000.03
g2-slp-synthesis-aes-top29.cnf 5000.01 38.4164
g2-hwmcc15deep-oski15a10b10s-k20.cnf 5000.01 5000.01
mp1-rubikcube420.cnf 5000.01 5000.02
mp1-ps_5000_21250_3_0_0.8_0_1.70_2.cnf 5000.01 5000.02
g2-hwmcc15deep-6s516r-k17.cnf 5000.01 5000.02
mp1-ps_5000_21250_3_0_0.6_0_1.50_8.cnf 5000.01 5000.02
g2-ak128modbtsimpbaig.cnf 5000.01 5000.01
g2-gss-34-s100.cnf 5000.01 5000.01
g2-hwmcc15deep-6s161-k18.cnf 5000.01 5000.02
mp1-Nb7T43.cnf 5000.01 5000.01
mp1-9_4.cnf 3201.88 4853.15
mp1-Nb7T42.cnf 5000.03 5000.01
mp1-21.1.cnf 14.5317 111.239
mp1-9_44.cnf 5000.02 5000.02
mp1-9_22.cnf 5000.01 5000.01
mp1-22.1.cnf 3036.77 5000.02
g2-hwmcc15deep-6s340rb63-k16.cnf 111.1 77.6795
g2-ak128modbtbg1btaig.cnf 14.8415 12.2397
mp1-rubikcube912.cnf 5000.01 5000.01
mp1-squ_ali_s10x10_c39_bail_SAT.cnf 113.094 76.5778
mp1-klieber2017s-2000-023-eq.cnf 3287.59 3120.28
mp1-blockpuzzle_5x12_s6_free3.cnf 463.97 440.666
g2-gss-28-s100.cnf 5000.01 5000.01
g2-hwmcc15deep-6s399b03-k02.cnf 5000.02 5000.02
mp1-ps_5000_21250_3_0_0.6_0_1.45_8.cnf 5000.02 5000.01
g2-ak128astepbg2msaig.cnf 5000.01 5000.01
mp1-blockpuzzle_9x9_s5_free3.cnf 201.913 198.302
mp1-ps_5000_21250_3_0_0.8_0_1.50_4.cnf 110.578 112.883
mp1-tri_ali_s11_c35_bail_UNS.cnf 71.588 71.6954
