Instance MapleLCMDistChrBT MapleLCMDistChrBt-DL-v1 MapleLCMDistChrBt-DL-v2
mp1-Nb6T25.cnf 2162.38 100.564 104.468
g2-T75.2.0.cnf 154.747 188.616 200.671
mp1-24.0.cnf 5000.01 5000.24 5000.02
g2-hwmcc15deep-intel066-k10.cnf 5000.01 5000.01 5000.02
mp1-blockpuzzle_9x9_s1_free10.cnf 2703.2 2752.66 2610.6
mp1-tri_ali_s11_c35_sinz_UNS.cnf 80.9008 72.7822 70.6835
mp1-klieber2017s-1200-022-eq.cnf 839.178 747.948 766.844
g2-ak128simpbbg1sbisc.cnf 7.8358 7.39519 11.8347
g2-hwmcc15deep-6s161-k18.cnf 5000.01 5000.01 5000.11
mp1-tri_ali_s11_c35_sinx_UNS.cnf 54.6557 57.4629 57.1162
mp1-21.8.cnf 67.9333 33.0999 32.5371
g2-gss-36-s100.cnf 5000.01 5000.01 5000.09
mp1-klieber2017s-1200-024-eq.cnf 2578.59 2604.63 2444.91
mp1-rubikcube612.cnf 2557.93 1845.16 1978.58
g2-slp-synthesis-aes-top26.cnf 972.082 5000.01 5000.07
g2-T65.2.0.cnf 205.94 218.913 189.846
g2-T102.2.1.cnf 2412.32 2810.85 2615.84
mp1-blockpuzzle_9x9_s1_free8.cnf 5000.02 5000.01 5000.02
mp1-tri_ali_s11_c35_bail_UNS.cnf 93.2034 81.1884 81.5557
g2-ak128modbtbg1btaig.cnf 47.6845 34.4873 36.6704
g2-hwmcc15deep-6s340rb63-k22.cnf 2638.56 2629.05 2658.98
g2-hwmcc15deep-beembkry8b1-k45.cnf 1793.97 3083.39 2803.29
g2-hwmcc15deep-6s399b02-k02.cnf 5000.02 5000.01 5000.01
mp1-9_19.cnf 5000.01 5000.02 5000.01
mp1-22.7.cnf 399.535 5000.01 5000.01
mp1-klieber2017s-1600-024-eq.cnf 3532.81 3361.9 3361.54
g2-T124.2.0.cnf 373.46 382.003 373.559
g2-gss-32-s100.cnf 5000.02 5000.01 5000.01
g2-T135.1.1.cnf 188.186 230.217 236.658
g2-hwmcc15deep-6s161-k17.cnf 5000.01 5000.25 5000.1
mp1-ps_5000_21250_3_0_0.8_0_1.70_4.cnf 5000.02 5000.01 5000.01
mp1-Nb7T42.cnf 5000.02 5000.01 5000.01
g2-T104.1.0.cnf 1296.82 941.478 1036.69
g2-T124.2.1.cnf 1310.31 1471.34 1493.77
mp1-24.3.cnf 5000.01 5000.25 5000.01
g2-hwmcc15deep-6s341r-k19.cnf 2058.22 2214.58 2614.79
mp1-ps_5000_21250_3_0_0.8_0_1.60_4.cnf 5000.01 5000.01 5000.02
mp1-Nb5T07.cnf 5000.01 5000.02 5000.01
g2-ak128paralsimpbaig.cnf 5000.01 5000.01 5000.02
mp1-24.8.cnf 5000.01 5000.01 5000.02
g2-hwmcc15deep-bob12s02-k16.cnf 5000.02 5000.02 5000.11
mp1-ps_5000_21250_3_0_0.7_0_1.50_2.cnf 5000.01 5000.01 5000.01
g2-gss-40-s100.cnf 5000.01 5000.02 5000.01
g2-modgen-n200-m90860q08c40-3230.cnf 5000.01 1361.51 1435.8
g2-slp-synthesis-aes-top25.cnf 1747.79 5000.01 5000.01
mp1-23.2.cnf 5000.01 5000.01 5000.02
mp1-22.4.cnf 5000.01 335.003 345.555
g2-ak128paralparalisc.cnf 5000.01 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.45_0.cnf 5000.01 5000.01 5000.02
mp1-ps_5000_21250_3_0_0.8_0_1.55_0.cnf 5000 5000.01 5000.01
g2-hwmcc15deep-oski15a10b06s-k24.cnf 5000.03 5000.01 5000.01
g2-ak128boothboothisc.cnf 5000.01 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.8_0_1.60_6.cnf 5000.01 5000.01 5000.02
mp1-22.5.cnf 5000.01 1328.75 1352.01
g2-ak128boothbg2asisc.cnf 5000.01 4073.87 4955.2
mp1-Nb7T45.cnf 5000.02 5000.01 5000.01
g2-hwmcc15deep-bobpcihm-k31.cnf 5000.01 5000.01 5000.02
mp1-klieber2017s-0300-034-t12.cnf 5000.01 5000.01 3132.27
mp1-23.6.cnf 5000.01 5000.01 5000.01
mp1-Nb5T14.cnf 5000 508.535 541.236
satcoin-genesis-SAT-4.cnf 5.21174 3.3172 3.43795
cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf 13.1374 1901.76 1908.25
cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf 13.7443 12.5073 12.3419
ramsey-30-4.cnf 0.896729 0.758477 0.713249
20180322_164226661_p_cnf_320_1120.cnf 46.2727 5000.1 5000.01
CNP-5-1700.cnf 51.7859 121.32 122.756
CNP-5-1600.cnf 64.4825 109.662 115.673
gto_p60c239.cnf 85.2952 74.2919 75.3795
Problem14_label19_true-unreach-call.c.cnf 98.7566 82.024 85.5004
cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf 209.68 350.226 335.734
ecarev-110-4099-22-30-5.cnf 220.646 252.219 273.48
ecarev-110-1031-23-40-7.cnf 157.805 141.908 150.273
Karatsuba7654321x1234567.cnf 291.416 349.971 365.657
T116.2.0.cnf 337.092 335.94 324.033
Problem14_label20_true-unreach-call.c.cnf 127.778 67.1412 68.7229
T84.2.0.cnf 361.671 329.526 308.214
pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf 401.502 323.299 360.994
apn-sbox6-cut3-helpbox31.cnf 476.354 930.965 879.32
T129.2.0.cnf 477.87 411.681 394.446
T87.2.0.cnf 536.361 533.168 511.673
prime_200560490131.cnf 131.335 128.11 129.45
cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf 422.721 168.989 173.823
20180322_164245263_p_cnf_320_1120.cnf 482.285 5000.09 5000.01
course0.2_2018_3.cnf 856.392 5000.01 5000.01
course0.2_2018_3_5.cnf 251.769 278.146 269.086
quadratic_loose_error.c.cnf 237.062 230.76 230.561
newton_3_6_false-unreach-call.i.cnf 777.382 283.795 303.981
a_rphp035_05.cnf 1356.17 869.773 877.426
Nb52T6.cnf 1577.61 2070.18 3311.32
Nb42T6.cnf 1680.99 1159.12 1435.14
sted5_0x0-50.cnf 210.946 345.391 352.227
apn-sbox6-cut3-helpbox30.cnf 946.789 830.372 831.99
ecarev-110-1031-23-40-3.cnf 56.6645 149.282 157.119
satcoin-genesis-SAT-1024.cnf 2549.67 27.3127 26.5556
uniqinv46prop.cnf 2846.67 2855.95 2890.24
frb35-17-5-mgd_ext.cnf 95.4554 47.3155 45.8293
si2-b03m-m400-03.cnf 91.5011 88.8563 89.0398
course0.12_2018_3_1.cnf 3086.41 3181.28 3338.77
CNP-5-0.cnf 1531.63 675.354 745.707
gto_p60c241.cnf 95.9713 104.397 103.055
sted1_0x1e3-300.cnf 5000.08 5000 5000.01
e_rphp096_04.cnf 5000.1 5000.01 5000.01
sted1_0x1e3-100.cnf 5000.08 5000 5000.02
apn-sbox5-cut4-symmbreak.cnf 5000.09 5000.01 5000
less-cy-caa.rules.4-9.cnf 5000.1 5000 5000.02
apn-sbox6-cut3-helpbox23.cnf 5000.1 5000.01 5000.01
gto_p50c311.cnf 5000.1 5000 5000.01
sdiv40prop.cnf 5000.11 5000.11 5000.02
commutativity3.c.cnf 5000.1 5000 5000.01
gto_p50c314.cnf 5000.12 5000.02 5000
mchess_18.cnf 5000.09 5000 5000.01
e_rphp056_05.cnf 5000.11 5000.02 5000.01
course_flat_0.12_2018_3.cnf 5000.1 5000.01 5000.01
ex015_14.cnf 5000.13 5000.01 5000.11
